topic,count,default_name,year_min,year_max,top_documents
9,30,9_race_washington_mr washington_white people,1895,1916,"Booker T. Washington, Builder of a Civilization (Emmett J. Scott): 24 | The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (Henry Clay Bruce): 3 | Men of Maryland (George F. Bragg): 2 | Brief Sketch of the Life and Labors of Rev. Alexander Bettis. Also an Account of the Founding and Development of the Bettis Academy (Alfred W. Nicholson): 1"
10,28,10_testimony_cruel_aaron_slaveholder,1838,1897,"American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 8 | Narrative of Henry Box Brown, Who Escaped from Slavery, Enclosed in a Box 3 Feet Long and 2 Wide. Written from a Statement of Facts Made by Himself. With Remarks Upon the Remedy for Slavery. By Charles Stearns (Henry Box Brown): 7 | Narrative of Joanna; An Emancipated Slave, of Surinam. (From Stedman's Narrative of a Five Year's Expedition Against the Revolted Negroes of Surinam) (John Gabriel Stedman): 3 | The Light and Truth of Slavery. Aaron's History (  Aaron): 2 | Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 1"
11,28,11_fugitive_freedom_colour_reuben,1845,1914,"Hair-breadth Escapes from Slavery to Freedom (William  Troy): 7 | Men of Maryland (George F. Bragg): 5 | Life and Adventures of James Williams, a Fugitive Slave, with a Full Description of the Underground Railroad (James  Williams): 4 | Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 3 | Biography of an American Bondman, by His Daughter (Josephine  Brown): 3"
12,28,12_whip_mistress_madam_pete,1839,1897,"American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 15 | Life and Adventures of James Williams, a Fugitive Slave, with a Full Description of the Underground Railroad (James  Williams): 5 | Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 4 | Narrative of Henry Box Brown, Who Escaped from Slavery, Enclosed in a Box 3 Feet Long and 2 Wide. Written from a Statement of Facts Made by Himself. With Remarks Upon the Remedy for Slavery. By Charles Stearns (Henry Box Brown): 2 | The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (Henry Clay Bruce): 1"
13,26,13_maria_st john_st_colonel boyd,1832,1896,"Life and Opinions of Julius Melbourn; with Sketches of the Lives and Characters of Thomas Jefferson, John Quincy Adams, John Randolph, and Several Other Eminent American Statesmen (Julius  Melbourn): 16 | Life and History of William O'Neal, or, The Man Who Sold His Wife (William  O'Neal): 3 | The Experience of Rev. Thomas H. Jones, Who Was a Slave for Forty-Three Years. Written by a Friend, as Related to Him by Brother Jones (Thomas H. Jones): 2 | Truth Stranger Than Fiction. Father Henson's Story of His Own Life (Josiah  Henson): 2 | Narrative of Henry Box Brown, Who Escaped from Slavery, Enclosed in a Box 3 Feet Long and 2 Wide. Written from a Statement of Facts Made by Himself. With Remarks Upon the Remedy for Slavery. By Charles Stearns (Henry Box Brown): 1"
14,26,14_pass_perkinson_tom_farm,1849,1907,"The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (Henry Clay Bruce): 16 | Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 6 | The Experience of Rev. Thomas H. Jones, Who Was a Slave for Forty-Three Years. Written by a Friend, as Related to Him by Brother Jones (Thomas H. Jones): 1 | Narrative of Henry Box Brown, Who Escaped from Slavery, Enclosed in a Box 3 Feet Long and 2 Wide. Written from a Statement of Facts Made by Himself. With Remarks Upon the Remedy for Slavery. By Charles Stearns (Henry Box Brown): 1 | Life and Adventures of Nat Love, Better Known in the Cattle Country as ""Deadwood Dick,"" by Himself; a True History of Slavery Days, Life on the Great Cattle Ranges and on the Plains of the ""Wild and Woolly"" West, Based on Facts, and Personal Experiences of the Author (Nat  Love): 1"
15,25,15_bettis_rev_bishop_preach,1861,1916,"Men of Maryland (George F. Bragg): 10 | Brief Sketch of the Life and Labors of Rev. Alexander Bettis. Also an Account of the Founding and Development of the Bettis Academy (Alfred W. Nicholson): 6 | Booker T. Washington, Builder of a Civilization (Emmett J. Scott): 3 | The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (Henry Clay Bruce): 2 | Pastor Henry N. Jeter's Twenty-five Years Experience with the Shiloh Baptist Church and Her History. Corner School and Mary Streets, Newport, R. I. (Henry N. Jeter): 2"
16,24,16_affray_pistol_shot_wound,1839,1896,"American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 23 | Life and History of William O'Neal, or, The Man Who Sold His Wife (William  O'Neal): 1"
17,23,17_sugar_virginia_estimate_overwork,1839,1858,"American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 21 | Biography of an American Bondman, by His Daughter (Josephine  Brown): 1 | Truth Stranger Than Fiction. Father Henson's Story of His Own Life (Josiah  Henson): 1"
18,22,18_pullman_car_railroad_passenger,1856,1922,"Life and Adventures of Nat Love, Better Known in the Cattle Country as ""Deadwood Dick,"" by Himself; a True History of Slavery Days, Life on the Great Cattle Ranges and on the Plains of the ""Wild and Woolly"" West, Based on Facts, and Personal Experiences of the Author (Nat  Love): 14 | Echoes from a Pioneer Life (Jared Maurice Arter): 3 | Booker T. Washington, Builder of a Civilization (Emmett J. Scott): 3 | Biography of an American Bondman, by His Daughter (Josephine  Brown): 2"
19,22,19_school_washington_tuskegee_teacher,1847,1922,"Booker T. Washington, Builder of a Civilization (Emmett J. Scott): 14 | Echoes from a Pioneer Life (Jared Maurice Arter): 2 | Brief Sketch of the Life and Labors of Rev. Alexander Bettis. Also an Account of the Founding and Development of the Bettis Academy (Alfred W. Nicholson): 2 | Life and Opinions of Julius Melbourn; with Sketches of the Lives and Characters of Thomas Jefferson, John Quincy Adams, John Randolph, and Several Other Eminent American Statesmen (Julius  Melbourn): 1 | Truth Stranger Than Fiction. Father Henson's Story of His Own Life (Josiah  Henson): 1"
20,22,20_business_note_mr johnson_johnson,1847,1916,"Booker T. Washington, Builder of a Civilization (Emmett J. Scott): 5 | Truth Stranger Than Fiction. Father Henson's Story of His Own Life (Josiah  Henson): 3 | Life and History of William O'Neal, or, The Man Who Sold His Wife (William  O'Neal): 3 | Biography of an American Bondman, by His Daughter (Josephine  Brown): 2 | Life and Opinions of Julius Melbourn; with Sketches of the Lives and Characters of Thomas Jefferson, John Quincy Adams, John Randolph, and Several Other Eminent American Statesmen (Julius  Melbourn): 2"
21,21,21_cloth_overseer_field_roll,1839,1897,"American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 15 | The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (Henry Clay Bruce): 2 | The Experience of a Slave in South Carolina (John Andrew Jackson): 2 | Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 1 | The Light and Truth of Slavery. Aaron's History (  Aaron): 1"
22,21,22_school_tuskegee_washington_education,1895,1922,"Booker T. Washington, Builder of a Civilization (Emmett J. Scott): 15 | Brief Sketch of the Life and Labors of Rev. Alexander Bettis. Also an Account of the Founding and Development of the Bettis Academy (Alfred W. Nicholson): 3 | The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (Henry Clay Bruce): 2 | Echoes from a Pioneer Life (Jared Maurice Arter): 1"
23,20,23_captain_boat_ship_steward,1760,1897,"Truth Stranger Than Fiction. Father Henson's Story of His Own Life (Josiah  Henson): 4 | Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 3 | A Narrative of the Uncommon Sufferings, and Surprizing Deliverance of Briton Hammon, a Negro Man,--Servant to General Winslow, of Marshfield, in New-England; Who Returned to Boston, After Having Been Absent Almost Thirteen Years. Containing an Account of the Many Hardships He Underwent from the Time He Left His Master's House, in the Year 1747, to the Time of His Return to Boston.--How He Was Cast Away in the Capes of Florida;---The Horrid Cruelty and Inhuman Barbarity of the Indians in Murdering the Whole Ship's Crew;---The Manner of His Being Carry'd by Them Into Captivity. Also, an Account of His Being Confined Four Years and Seven Months in a Close Dungeon,---and the Remarkable Manner in Which He Met with His Good Old Master in London; Who Returned to New-England, a Passenger in the Same Ship (Briton  Hammon): 3 | Life and Adventures of James Williams, a Fugitive Slave, with a Full Description of the Underground Railroad (James  Williams): 3 | The Experience of Rev. Thomas H. Jones, Who Was a Slave for Forty-Three Years. Written by a Friend, as Related to Him by Brother Jones (Thomas H. Jones): 2"
24,20,24_jared_school_mrs_aunt,1845,1922,"Men of Maryland (George F. Bragg): 5 | Echoes from a Pioneer Life (Jared Maurice Arter): 3 | Hair-breadth Escapes from Slavery to Freedom (William  Troy): 3 | Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 2 | The Experience of Rev. Thomas H. Jones, Who Was a Slave for Forty-Three Years. Written by a Friend, as Related to Him by Brother Jones (Thomas H. Jones): 2"
25,19,25_reward_subscriber_public_sold,1839,1916,"American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 14 | Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 1 | Biography of an American Bondman, by His Daughter (Josephine  Brown): 1 | Life and History of William O'Neal, or, The Man Who Sold His Wife (William  O'Neal): 1 | Booker T. Washington, Builder of a Civilization (Emmett J. Scott): 1"
26,19,26_color people_evil_race_bettis,1856,1914,"The History of William Webb, Composed by Himself (William  Webb): 5 | Brief Sketch of the Life and Labors of Rev. Alexander Bettis. Also an Account of the Founding and Development of the Bettis Academy (Alfred W. Nicholson): 4 | Sketch of the Life of Mr. Lewis Charlton, and Reminiscences of Slavery (Lewis  Charlton): 2 | A Thrilling Narrative from the Lips of the Sufferers of the Late Detroit Riot, March 6, 1863, With the Hair Breadth Escapes of Men, Women and Children, and Destruction of Colored Men's Property, Not Less Than $15,000. (  No Author): 2 | The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (Henry Clay Bruce): 1"
27,18,27_freedom_fugitive_brown_lewis,1839,1897,"Biography of an American Bondman, by His Daughter (Josephine  Brown): 5 | Hair-breadth Escapes from Slavery to Freedom (William  Troy): 5 | The Light and Truth of Slavery. Aaron's History (  Aaron): 2 | Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 1 | The Experience of a Slave in South Carolina (John Andrew Jackson): 1"
28,18,28_public opinion_public_opinion_laws,1839,1847,"American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 17 | Life and Opinions of Julius Melbourn; with Sketches of the Lives and Characters of Thomas Jefferson, John Quincy Adams, John Randolph, and Several Other Eminent American Statesmen (Julius  Melbourn): 1"
29,18,29_dogs_farm_fish_snake,1847,1907,"Sunshine and Shadow of Slave Life. Reminiscences as told by Isaac D. Williams to ""Tege"" (Isaac D. Williams): 8 | The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (Henry Clay Bruce): 4 | The History of William Webb, Composed by Himself (William  Webb): 2 | The Experience of a Slave in South Carolina (John Andrew Jackson): 1 | Sketch of the Life of Mr. Lewis Charlton, and Reminiscences of Slavery (Lewis  Charlton): 1"
30,18,30_baptist_pastor_rev_baptist church,1901,1922,"Pastor Henry N. Jeter's Twenty-five Years Experience with the Shiloh Baptist Church and Her History. Corner School and Mary Streets, Newport, R. I. (Henry N. Jeter): 14 | Men of Maryland (George F. Bragg): 2 | Echoes from a Pioneer Life (Jared Maurice Arter): 1 | Brief Sketch of the Life and Labors of Rev. Alexander Bettis. Also an Account of the Founding and Development of the Bettis Academy (Alfred W. Nicholson): 1"
31,18,31_soldier_fort_rebel_wallace,1873,1918,"Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 8 | The History of William Webb, Composed by Himself (William  Webb): 5 | A Slave's Adventures Toward Freedom. Not Fiction, but the True Story of a Struggle (Peter  Bruner): 4 | Life and Adventures of Nat Love, Better Known in the Cattle Country as ""Deadwood Dick,"" by Himself; a True History of Slavery Days, Life on the Great Cattle Ranges and on the Plains of the ""Wild and Woolly"" West, Based on Facts, and Personal Experiences of the Author (Nat  Love): 1"
32,17,32_love_dear_affection_precious,1839,1897,"The Experience of Rev. Thomas H. Jones, Who Was a Slave for Forty-Three Years. Written by a Friend, as Related to Him by Brother Jones (Thomas H. Jones): 8 | Narrative of Henry Box Brown, Who Escaped from Slavery, Enclosed in a Box 3 Feet Long and 2 Wide. Written from a Statement of Facts Made by Himself. With Remarks Upon the Remedy for Slavery. By Charles Stearns (Henry Box Brown): 3 | The Light and Truth of Slavery. Aaron's History (  Aaron): 2 | Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 1 | Sketch of the Life of Mr. Lewis Charlton, and Reminiscences of Slavery (Lewis  Charlton): 1"
33,17,33_cotton_worm_plant_corn,1839,1918,"Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 8 | American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 5 | The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (Henry Clay Bruce): 1 | A Slave's Adventures Toward Freedom. Not Fiction, but the True Story of a Struggle (Peter  Bruner): 1 | Life and Adventures of Nat Love, Better Known in the Cattle Country as ""Deadwood Dick,"" by Himself; a True History of Slavery Days, Life on the Great Cattle Ranges and on the Plains of the ""Wild and Woolly"" West, Based on Facts, and Personal Experiences of the Author (Nat  Love): 1"
34,16,34_phil_whip_ran_beasley,1858,1918,"A Slave's Adventures Toward Freedom. Not Fiction, but the True Story of a Struggle (Peter  Bruner): 6 | Sunshine and Shadow of Slave Life. Reminiscences as told by Isaac D. Williams to ""Tege"" (Isaac D. Williams): 4 | The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (Henry Clay Bruce): 2 | Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 1 | Truth Stranger Than Fiction. Father Henson's Story of His Own Life (Josiah  Henson): 1"
35,16,35_lawyer_mr jefferson_constitution_washington,1847,1916,"Life and Opinions of Julius Melbourn; with Sketches of the Lives and Characters of Thomas Jefferson, John Quincy Adams, John Randolph, and Several Other Eminent American Statesmen (Julius  Melbourn): 9 | Booker T. Washington, Builder of a Civilization (Emmett J. Scott): 6 | Men of Maryland (George F. Bragg): 1"
36,15,36_mile_start_town_wood,1858,1918,"Life and Adventures of Nat Love, Better Known in the Cattle Country as ""Deadwood Dick,"" by Himself; a True History of Slavery Days, Life on the Great Cattle Ranges and on the Plains of the ""Wild and Woolly"" West, Based on Facts, and Personal Experiences of the Author (Nat  Love): 5 | A Slave's Adventures Toward Freedom. Not Fiction, but the True Story of a Struggle (Peter  Bruner): 4 | The History of William Webb, Composed by Himself (William  Webb): 4 | Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 1 | Truth Stranger Than Fiction. Father Henson's Story of His Own Life (Josiah  Henson): 1"
37,14,37_washington_dinner_king_queen,1856,1916,"Booker T. Washington, Builder of a Civilization (Emmett J. Scott): 10 | Men of Maryland (George F. Bragg): 1 | Biography of an American Bondman, by His Daughter (Josephine  Brown): 1 | Truth Stranger Than Fiction. Father Henson's Story of His Own Life (Josiah  Henson): 1 | The History of William Webb, Composed by Himself (William  Webb): 1"
38,14,38_book_bruce_record_mr bruce,1849,1918,"The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (Henry Clay Bruce): 4 | Narrative of Henry Box Brown, Who Escaped from Slavery, Enclosed in a Box 3 Feet Long and 2 Wide. Written from a Statement of Facts Made by Himself. With Remarks Upon the Remedy for Slavery. By Charles Stearns (Henry Box Brown): 2 | Truth Stranger Than Fiction. Father Henson's Story of His Own Life (Josiah  Henson): 2 | Men of Maryland (George F. Bragg): 1 | A Slave's Adventures Toward Freedom. Not Fiction, but the True Story of a Struggle (Peter  Bruner): 1"
39,13,39_school_jared_baptist_build,1901,1922,"Echoes from a Pioneer Life (Jared Maurice Arter): 10 | Pastor Henry N. Jeter's Twenty-five Years Experience with the Shiloh Baptist Church and Her History. Corner School and Mary Streets, Newport, R. I. (Henry N. Jeter): 2 | Brief Sketch of the Life and Labors of Rev. Alexander Bettis. Also an Account of the Founding and Development of the Bettis Academy (Alfred W. Nicholson): 1"
40,13,40_free black_sold_district_horton,1839,1914,"Men of Maryland (George F. Bragg): 5 | American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 5 | Life and Opinions of Julius Melbourn; with Sketches of the Lives and Characters of Thomas Jefferson, John Quincy Adams, John Randolph, and Several Other Eminent American Statesmen (Julius  Melbourn): 3"
41,13,41_overseer_whip_field_blood,1839,1897,"American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 4 | The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (Henry Clay Bruce): 2 | Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 2 | Biography of an American Bondman, by His Daughter (Josephine  Brown): 2 | Truth Stranger Than Fiction. Father Henson's Story of His Own Life (Josiah  Henson): 2"
42,13,42_munger_mr munger_parson_stay,1868,1868,"Life of James Mars, a Slave Born and Sold in Connecticut. Written by Himself (James  Mars): 13"
43,13,43_jared_brown_sold_dr pennington,1838,1922,"Echoes from a Pioneer Life (Jared Maurice Arter): 2 | Life and Opinions of Julius Melbourn; with Sketches of the Lives and Characters of Thomas Jefferson, John Quincy Adams, John Randolph, and Several Other Eminent American Statesmen (Julius  Melbourn): 2 | Truth Stranger Than Fiction. Father Henson's Story of His Own Life (Josiah  Henson): 2 | Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 1 | Narrative of Henry Box Brown, Who Escaped from Slavery, Enclosed in a Box 3 Feet Long and 2 Wide. Written from a Statement of Facts Made by Himself. With Remarks Upon the Remedy for Slavery. By Charles Stearns (Henry Box Brown): 1"
44,12,44_lynch_mob_citizen_fife,1839,1916,"American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 6 | The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (Henry Clay Bruce): 2 | A Thrilling Narrative from the Lips of the Sufferers of the Late Detroit Riot, March 6, 1863, With the Hair Breadth Escapes of Men, Women and Children, and Destruction of Colored Men's Property, Not Less Than $15,000. (  No Author): 2 | Booker T. Washington, Builder of a Civilization (Emmett J. Scott): 2"
45,12,45_business_league_race_washington,1873,1916,"Booker T. Washington, Builder of a Civilization (Emmett J. Scott): 11 | Life and Adventures of James Williams, a Fugitive Slave, with a Full Description of the Underground Railroad (James  Williams): 1"
46,12,46_mob_street_shop_door,1863,1873,"A Thrilling Narrative from the Lips of the Sufferers of the Late Detroit Riot, March 6, 1863, With the Hair Breadth Escapes of Men, Women and Children, and Destruction of Colored Men's Property, Not Less Than $15,000. (  No Author): 11 | Life and Adventures of James Williams, a Fugitive Slave, with a Full Description of the Underground Railroad (James  Williams): 1"
47,12,47_color people_washington_garnet_bettis,1847,1916,"Men of Maryland (George F. Bragg): 2 | Biography of an American Bondman, by His Daughter (Josephine  Brown): 2 | Brief Sketch of the Life and Labors of Rev. Alexander Bettis. Also an Account of the Founding and Development of the Bettis Academy (Alfred W. Nicholson): 2 | Booker T. Washington, Builder of a Civilization (Emmett J. Scott): 2 | The History of William Webb, Composed by Himself (William  Webb): 2"
48,11,48_clerk_commissioner_employe_office,1895,1916,"The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (Henry Clay Bruce): 6 | Booker T. Washington, Builder of a Civilization (Emmett J. Scott): 3 | Pastor Henry N. Jeter's Twenty-five Years Experience with the Shiloh Baptist Church and Her History. Corner School and Mary Streets, Newport, R. I. (Henry N. Jeter): 2"
49,11,49_tax_taxation_protection_cent,1847,1847,"Life and Opinions of Julius Melbourn; with Sketches of the Lives and Characters of Thomas Jefferson, John Quincy Adams, John Randolph, and Several Other Eminent American Statesmen (Julius  Melbourn): 11"
50,11,50_farmer_school_agricultural_washington,1913,1916,"Booker T. Washington, Builder of a Civilization (Emmett J. Scott): 10 | Brief Sketch of the Life and Labors of Rev. Alexander Bettis. Also an Account of the Founding and Development of the Bettis Academy (Alfred W. Nicholson): 1"
51,11,51_russ_london_build_street,1832,1922,"Biography of an American Bondman, by His Daughter (Josephine  Brown): 3 | Thirty Years a Slave: From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter (Louis  Hughes): 1 | The Experience of Rev. Thomas H. Jones, Who Was a Slave for Forty-Three Years. Written by a Friend, as Related to Him by Brother Jones (Thomas H. Jones): 1 | The Light and Truth of Slavery. Aaron's History (  Aaron): 1 | Echoes from a Pioneer Life (Jared Maurice Arter): 1"
52,10,52_watch_struck_arrest_officer,1839,1918,"Life and Adventures of James Williams, a Fugitive Slave, with a Full Description of the Underground Railroad (James  Williams): 6 | The History of William Webb, Composed by Himself (William  Webb): 2 | A Slave's Adventures Toward Freedom. Not Fiction, but the True Story of a Struggle (Peter  Bruner): 1 | American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 1"
53,10,53_adam_mr adam_fiction_clay,1845,1914,"Life and Opinions of Julius Melbourn; with Sketches of the Lives and Characters of Thomas Jefferson, John Quincy Adams, John Randolph, and Several Other Eminent American Statesmen (Julius  Melbourn): 6 | Men of Maryland (George F. Bragg): 2 | The Light and Truth of Slavery. Aaron's History (  Aaron): 1 | The History of William Webb, Composed by Himself (William  Webb): 1"
