topic,topic_label,chunks,top_words,earliest_publication_year,latest_publication_year,top_documents
16,Violent Confrontations and Duels,24,"affray, pistol, shot, wound, knife, murder, stab, bowie, alabama, tennessee",1839.0,1896.0,"American Slavery As It Is: Testimony of a Thousand Witnesses (23 chunks); Life and History of William O'Neal, or, The Man Who Sold His Wife (1 chunks)"
17,Plantation Labor and Crop Management,23,"sugar, virginia, estimate, overwork, crop, hire, planter, proportion, cotton, carolina",1839.0,1858.0,"American Slavery As It Is: Testimony of a Thousand Witnesses (21 chunks); Biography of an American Bondman, by His Daughter (1 chunks); Truth Stranger Than Fiction. Father Henson's Story of His Own Life (1 chunks)"
18,Traveling by Railroad,22,"pullman, car, railroad, passenger, porter, service, conductor, travel, cars, superintendent",1856.0,1922.0,"Life and Adventures of Nat Love, Better Known in the Cattle Country... (14 chunks); Booker T. Washington, Builder of a Civilization (3 chunks); Echoes from a Pioneer Life (3 chunks)"
19,Education and Personal Development,22,"school, washington, tuskegee, teacher, booker washington, booker, student, education, race, mr washington",1847.0,1922.0,"Booker T. Washington, Builder of a Civilization (14 chunks); Brief Sketch of the Life and Labors of Rev. Alexander Bettis. Also ... (2 chunks); Echoes from a Pioneer Life (2 chunks)"
20,Financial Struggles and Business Ventures,22,"business, note, mr johnson, johnson, fairport, ago, cent, year ago, terry, pennington",1847.0,1916.0,"Booker T. Washington, Builder of a Civilization (5 chunks); Life and History of William O'Neal, or, The Man Who Sold His Wife (3 chunks); Truth Stranger Than Fiction. Father Henson's Story of His Own Life (3 chunks)"
21,Transportation and Trade in the Antebellum South,21,"cloth, overseer, field, roll, generally, plantation, huts, cotton, whip, winter",1839.0,1897.0,"American Slavery As It Is: Testimony of a Thousand Witnesses (15 chunks); The Experience of a Slave in South Carolina (2 chunks); The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (2 chunks)"
22,Education and Industrial Training,21,"school, tuskegee, washington, education, teacher, student, farm, department, mr washington, institution",1895.0,1922.0,"Booker T. Washington, Builder of a Civilization (15 chunks); Brief Sketch of the Life and Labors of Rev. Alexander Bettis. Also ... (3 chunks); The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (2 chunks)"
23,Captivity on a Boat,20,"captain, boat, ship, steward, sail, shore, vessel, felt, passenger, joanna",1760.0,1897.0,"Truth Stranger Than Fiction. Father Henson's Story of His Own Life (4 chunks); A Narrative of the Uncommon Sufferings, and Surprizing Deliverance ... (3 chunks); Life and Adventures of James Williams, a Fugitive Slave, with a Ful... (3 chunks)"
24,Family Reunions and Visits,20,"jared, school, mrs, aunt, evelyn, sherman, dr, dear, cairo, aunt dice",1845.0,1922.0,Men of Maryland (5 chunks); Echoes from a Pioneer Life (3 chunks); Hair-breadth Escapes from Slavery to Freedom (3 chunks)
25,Negro Slave Markets and Sales,19,"reward, subscriber, public, sold, jail, public opinion, sale, negro man, ranaway, charleston",1839.0,1916.0,"American Slavery As It Is: Testimony of a Thousand Witnesses (14 chunks); Biography of an American Bondman, by His Daughter (1 chunks); Booker T. Washington, Builder of a Civilization (1 chunks)"
26,Racial Identity and Equality,19,"color people, evil, race, bettis, lord, rev alexander, alexander bettis, understand, shown, alexander",1856.0,1914.0,"The History of William Webb, Composed by Himself (5 chunks); Brief Sketch of the Life and Labors of Rev. Alexander Bettis. Also ... (4 chunks); A Thrilling Narrative from the Lips of the Sufferers of the Late De... (2 chunks)"
31,Encounters with Rebel Soldiers,18,"soldier, fort, rebel, wallace, general wallace, camp, prisoner, start, march, fort henry",1873.0,1918.0,"Thirty Years a Slave: From Bondage to Freedom: The Institution of S... (8 chunks); The History of William Webb, Composed by Himself (5 chunks); A Slave's Adventures Toward Freedom. Not Fiction, but the True Stor... (4 chunks)"
30,African American Church Leadership and Development,18,"baptist, pastor, rev, baptist church, newport, pastorate, shiloh, late, th, shiloh baptist",1901.0,1922.0,Pastor Henry N. Jeter's Twenty-five Years Experience with the Shilo... (14 chunks); Men of Maryland (2 chunks); Brief Sketch of the Life and Labors of Rev. Alexander Bettis. Also ... (1 chunks)
29,Life on Plantation Farms,18,"dogs, farm, fish, snake, animal, perkinson, wood, tree, timber, break",1847.0,1907.0,"Sunshine and Shadow of Slave Life. Reminiscences as told by Isaac D... (8 chunks); The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (4 chunks); The History of William Webb, Composed by Himself (2 chunks)"
28,Lack of Protection from Public Opinion and Laws,18,"public opinion, public, opinion, laws, protection, carolina, paper, slave state, crime, iron",1839.0,1847.0,American Slavery As It Is: Testimony of a Thousand Witnesses (17 chunks); Life and Opinions of Julius Melbourn; with Sketches of the Lives an... (1 chunks)
27,Longing for Freedom and Escape,18,"freedom, fugitive, brown, lewis, escape, boat, sanford, travel, boy, valentine",1839.0,1897.0,"Biography of an American Bondman, by His Daughter (5 chunks); Hair-breadth Escapes from Slavery to Freedom (5 chunks); The Light and Truth of Slavery. Aaron's History (2 chunks)"
32,Separation from Family and Emotional Suffering,17,"love, dear, affection, precious, lucilla, box, agony, oh, sorrow, pure",1839.0,1897.0,"The Experience of Rev. Thomas H. Jones, Who Was a Slave for Forty-T... (8 chunks); Narrative of Henry Box Brown, Who Escaped from Slavery, Enclosed in... (3 chunks); The Light and Truth of Slavery. Aaron's History (2 chunks)"
33,Cotton Plantation Labor and Pest Management,17,"cotton, worm, plant, corn, pick, cook, field, task, plantation, generally",1839.0,1918.0,"Thirty Years a Slave: From Bondage to Freedom: The Institution of S... (8 chunks); American Slavery As It Is: Testimony of a Thousand Witnesses (5 chunks); A Slave's Adventures Toward Freedom. Not Fiction, but the True Stor... (1 chunks)"
34,Whipping and Plantation Punishment,16,"phil, whip, ran, beasley, mile, start, river, bank, wood, whiskey",1858.0,1918.0,"A Slave's Adventures Toward Freedom. Not Fiction, but the True Stor... (6 chunks); Sunshine and Shadow of Slave Life. Reminiscences as told by Isaac D... (4 chunks); The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (2 chunks)"
35,Respect for Law and Government,16,"lawyer, mr jefferson, constitution, washington, jefferson, booker washington, booker, mr dexter, dexter, government",1847.0,1916.0,"Life and Opinions of Julius Melbourn; with Sketches of the Lives an... (9 chunks); Booker T. Washington, Builder of a Civilization (6 chunks); Men of Maryland (1 chunks)"
36,Life on Plantations and Farms,15,"mile, start, town, wood, phil, cent, jordan, hir, basket, color fellow",1858.0,1918.0,"Life and Adventures of Nat Love, Better Known in the Cattle Country... (5 chunks); A Slave's Adventures Toward Freedom. Not Fiction, but the True Stor... (4 chunks); The History of William Webb, Composed by Himself (4 chunks)"
37,Encounters with European Royalty and Nobility,14,"washington, dinner, king, queen, roosevelt, president, booker, tuskegee, booker washington, invitation",1856.0,1916.0,"Booker T. Washington, Builder of a Civilization (10 chunks); Biography of an American Bondman, by His Daughter (1 chunks); Men of Maryland (1 chunks)"
38,Author's Reflections on Slavery,14,"book, bruce, record, mr bruce, written, author, hope, honor, born, story",1849.0,1918.0,"The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (4 chunks); Narrative of Henry Box Brown, Who Escaped from Slavery, Enclosed in... (2 chunks); Truth Stranger Than Fiction. Father Henson's Story of His Own Life (2 chunks)"
39,Jared Arter's Education and Ministry,13,"school, jared, baptist, build, cairo, seminary, teacher, arter, trustee, student",1901.0,1922.0,Echoes from a Pioneer Life (10 chunks); Pastor Henry N. Jeter's Twenty-five Years Experience with the Shilo... (2 chunks); Brief Sketch of the Life and Labors of Rev. Alexander Bettis. Also ... (1 chunks)
40,Free Black Status and Rights in Maryland,13,"free black, sold, district, horton, maryland, court, citizen, petition, legislature, district columbia",1839.0,1914.0,American Slavery As It Is: Testimony of a Thousand Witnesses (5 chunks); Men of Maryland (5 chunks); Life and Opinions of Julius Melbourn; with Sketches of the Lives an... (3 chunks)
41,Whipping and Plantation Punishment,13,"overseer, whip, field, blood, bluford, flog, medicine, treatment, joe, plantation",1839.0,1897.0,"American Slavery As It Is: Testimony of a Thousand Witnesses (4 chunks); Biography of an American Bondman, by His Daughter (2 chunks); The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (2 chunks)"
42,Escaping Slavery through Parson's Assistance,13,"munger, mr munger, parson, stay, norfolk, canaan, nephew, boys, nancy, wood",1868.0,1868.0,"Life of James Mars, a Slave Born and Sold in Connecticut. Written b... (13 chunks)"
43,Life on Plantations in Virginia,13,"jared, brown, sold, dr pennington, arter, major johnson, pennington, wealch, melbourn, war",1838.0,1922.0,Echoes from a Pioneer Life (2 chunks); Life and Opinions of Julius Melbourn; with Sketches of the Lives an... (2 chunks); Truth Stranger Than Fiction. Father Henson's Story of His Own Life (2 chunks)
46,Mob Violence and Property Destruction,12,"mob, street, shop, door, flame, dale, stone, rush, burn, missile",1863.0,1873.0,"A Thrilling Narrative from the Lips of the Sufferers of the Late De... (11 chunks); Life and Adventures of James Williams, a Fugitive Slave, with a Ful... (1 chunks)"
47,Fugitive Slave Experience and Abolitionist Reception,12,"color people, washington, garnet, bettis, paderewski, brown, paper, race, mr brown, lundy",1847.0,1916.0,"Biography of an American Bondman, by His Daughter (2 chunks); Booker T. Washington, Builder of a Civilization (2 chunks); Brief Sketch of the Life and Labors of Rev. Alexander Bettis. Also ... (2 chunks)"
44,Lynching and Mob Violence,12,"lynch, mob, citizen, fife, crime, mormon, editor, justice, respectable city, governor",1839.0,1916.0,"American Slavery As It Is: Testimony of a Thousand Witnesses (6 chunks); A Thrilling Narrative from the Lips of the Sufferers of the Late De... (2 chunks); Booker T. Washington, Builder of a Civilization (2 chunks)"
45,Booker Washington's Leadership and National Organization,12,"business, league, race, washington, organization, mr washington, national, booker washington, booker, convention",1873.0,1916.0,"Booker T. Washington, Builder of a Civilization (11 chunks); Life and Adventures of James Williams, a Fugitive Slave, with a Ful... (1 chunks)"
48,Administrative Reforms and Patronage,11,"clerk, commissioner, employe, office, pension, appointment, administration, appoint, washington, republican",1895.0,1916.0,"The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (6 chunks); Booker T. Washington, Builder of a Civilization (3 chunks); Pastor Henry N. Jeter's Twenty-five Years Experience with the Shilo... (2 chunks)"
49,Tariff and Protectionism,11,"tax, taxation, protection, cent, article, import, manufacturer, impost, ought, million",1847.0,1847.0,Life and Opinions of Julius Melbourn; with Sketches of the Lives an... (11 chunks)
50,Agricultural Education and Empowerment,11,"farmer, school, agricultural, washington, farm, pig, booker washington, booker, dat, tuskegee",1913.0,1916.0,"Booker T. Washington, Builder of a Civilization (10 chunks); Brief Sketch of the Life and Labors of Rev. Alexander Bettis. Also ... (1 chunks)"
51,Fleeing Slavery and Finding Aid,11,"russ, london, build, street, brown, worcester, aaron, mr brown, fugitive, appearance",1832.0,1922.0,"Biography of an American Bondman, by His Daughter (3 chunks); Echoes from a Pioneer Life (1 chunks); Life and Adventures of James Williams, a Fugitive Slave, with a Ful... (1 chunks)"
52,Escaping Slavery and Avoiding Capture,10,"watch, struck, arrest, officer, geese, chain, ship, told did, train, door",1839.0,1918.0,"Life and Adventures of James Williams, a Fugitive Slave, with a Ful... (6 chunks); The History of William Webb, Composed by Himself (2 chunks); A Slave's Adventures Toward Freedom. Not Fiction, but the True Stor... (1 chunks)"
53,Racial Stereotypes and Prejudice,10,"adam, mr adam, fiction, clay, mr clay, distinguish, general jackson, macbeth, boyd, highland",1845.0,1914.0,"Life and Opinions of Julius Melbourn; with Sketches of the Lives an... (6 chunks); Men of Maryland (2 chunks); The History of William Webb, Composed by Himself (1 chunks)"
54,Loyalty and Betrayal During the Civil War,10,"union, government, knight, mob, resolve, trader, citizen, soldier, union men, bail",1847.0,1922.0,"The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (4 chunks); A Thrilling Narrative from the Lips of the Sufferers of the Late De... (2 chunks); Life and Adventures of James Williams, a Fugitive Slave, with a Ful... (2 chunks)"
55,Food Rations and Hunger,10,"pound, corn, allowance, ration, quart, meat, food, ounce, beef, bread",1839.0,1847.0,American Slavery As It Is: Testimony of a Thousand Witnesses (9 chunks); Life and Opinions of Julius Melbourn; with Sketches of the Lives an... (1 chunks)
56,Church Governance and Membership,10,"sec, pastor, deacon, baptist, member church, christ, sec member, pastor deacon, sec duty, choir",1901.0,1901.0,Pastor Henry N. Jeter's Twenty-five Years Experience with the Shilo... (10 chunks)
57,Support for Abolitionist Speakers,10,"waterford, jackson, caulkin, minister, testimony, edinburgh, statement, kentucky, john andrew, nehemiah caulkin",1839.0,1868.0,American Slavery As It Is: Testimony of a Thousand Witnesses (5 chunks); The Experience of a Slave in South Carolina (2 chunks); Hair-breadth Escapes from Slavery to Freedom (1 chunks)
58,Joanna's Relationship with Captain Stedman,10,"joanna, stedman, paramaribo, mrs godefroy, godefroy, boy, fauconberg, hope, request, poor joanna",1838.0,1838.0,"Narrative of Joanna; An Emancipated Slave, of Surinam. (From Stedma... (10 chunks)"
