topic,label,description,top_words
35,Geography and Travel,"Narratives about travel, geography, and exploration, including descriptions of African kingdoms, rivers, and trade routes.","africa, tree, tribe, coffee, road, king, wagon, fruit, kingdom, toussaint"
36,Leaving Home and Family Separation,"Narrators describe their experiences leaving home, being separated from family members, and the difficulties they faced in reuniting or coping with separation.","vina, baby, cabin, week, overseer, field, wouldnt, lawrence, wash, sister"
37,Experiences in the American Civil War,"Narratives about the experiences of enslaved individuals during the American Civil War, including battles, military units, and interactions with soldiers.","indian, battle, florida, war, washington, syracuse, middle florida, hammock, woodbury, unit"
38,International Peace Conferences and Diplomacy,"The speaker's experiences attending international peace conferences, including interactions with notable figures such as Cobden and Victor Hugo, and observations on the reception of African American delegates.","speaker, speech, disraeli, cobden, peace, lord john, seat, speeche, congress, sits"
39,The Moral and Human Cost of Slavery,"The narratives highlight the dehumanizing effects of slavery on individuals and society, including moral degradation, poverty, and the suppression of intellectual and emotional growth.","law, lash, law says, moral, human, suffer, condition, degradation, million, seven million"
40,Fear of Master's Death and Burial,"Slaves' superstition that their masters will continue to torment them even after death, leading to fear of being buried near their master or being sold to a new owner.","clay, kentucky, whip, overseer, mr clay, jim, aaron, levin, jess, servant"
41,Relationships with Mistress/Owner,"Narrators' experiences and interactions with their mistresses or owners, including their treatment, expectations, and relationships.","yo, ter, joe, mistress, sally, wot, paul, yes, doan, mastah"
42,Debt-Related Threats and Sales,"Narratives about the threat of being sold due to a master's or owner's debts, including descriptions of debt-related sales, auctions, and attempts to escape such situations.","johnston, buel, postlewaite, carriage, benedict, sheriff, concklin, dont, jerry, rook"
43,Whipping and Plantation Punishment,"The brutal treatment of enslaved individuals, including physical punishment such as whipping, and the emotional toll it takes on family members left behind.","whip, quahama, mene, little brother, gow, suffering, thry, chain, iron, oblig"
44,Citizenship and Voting Rights,"Narratives highlighting the struggles of enslaved individuals to claim citizenship and voting rights in North America, often referencing state constitutions and laws.","citizen, unit state, unit, militia, constitution, massachusett, new york, york, american, congress"
45,Education and Training for African Americans,"The topic highlights the educational institutions and opportunities available to African Americans in North America during the period of slavery and its aftermath, including the Institute for Colored Youth in Philadelphia.","school, philadelphia, institute, graduat, teacher, graduate, taught, institute color, department, principal"
46,Religious Life and Slavery,"The intersection of Christianity, slave narratives, and the experiences of enslaved individuals in North America.","conference, massah, church, book, methodist, holy, lord, annual, yea, annual conference"
47,Refutation of Pro-Slavery Arguments,"Narratives that challenge or counter arguments made by pro-slavery advocates, often using biblical references and comparisons to European social conditions.","dinah, briton, natural, mum bett, mum, condition, social, bett, refutation, bondman"
48,Separation from Family and Punishment,"The emotional toll of family separation and the brutal punishment meted out to enslaved individuals, including whippings and other forms of physical abuse.","susan, madison, cabin, plantation, boat, deck, creole, vessel, steal meat, nathan"
49,Agriculture and Natural Resources,"The topic of Agriculture and Natural Resources encompasses the descriptions of various crops, fruits, trees, and animals found in North Africa, particularly in Algiers and Morocco. The narratives discuss the abundance of produce, including dates, figs, almonds, apples, and pomegranates, as well as the presence of exotic animals such as lions, tigers, leopards, and camels.","tree, resemble, fruit, indian, size, native, narrator, animal, abundance, produce"
50,Traveling and Isolation,"Experiences of traveling through unfamiliar territories, encountering various obstacles, and facing isolation in rural areas.","village, chorus, white man, peter, blanket, milk, tree, wind, journey, hut"
51,Christian Missionary Work in Africa,"Narratives about Christian missionaries' efforts to convert and educate Africans, particularly in Sierra Leone, and their interactions with European colonizers.","leone, sierra leone, sierra, christian, england, th, naimbanna, commend, voyage, dollar"
52,Astronomical Achievements and Calculations,"The narratives highlight Benjamin Banneker's exceptional mathematical skills and his publication of almanacs that contained astronomical calculations, demonstrating his contributions to the field of astronomy.","banneker, almanac, calculation, jefferson, astronomy, ellicott, pennington, letter, mr jefferson, sella"
53,Life Stories of Former Slaves,"Personal accounts of individuals born into slavery in North America, detailing their experiences and struggles.","story, born, born slave, ellen, ellen craft, parker, virginia, craft, book, birth"
54,The Slave Mother's Emotional Struggle and Separation from Children,"The emotional toll on slave mothers who are forced to separate from their children, often due to being sold or transferred to a new owner, and the fear of their children being subjected to abuse and exploitation.","mrs, frank, cox, sister, susanna, mrs cox, ned, girl, marry, nancy"
55,Murder Investigation and Trial,"Accounts of murder investigations, trials, and verdicts in the context of slave narratives from North America.","brown, witness, prisoner, madison, conversation, mcdowell, weaver, kil, shop, street"
56,Abandoned or Ruined Buildings,"Narratives describing abandoned or ruined buildings, often with a focus on their history, architecture, and emotional impact.","ruin, abbey, poet, beautiful, wall, stone, abbotsford, shell, monk, melrose"
57,The Richmond Theatre Fire,"Accounts of the devastating fire that occurred at the Richmond theatre in Virginia, resulting in numerous deaths and injuries.","theatre, save, window, destroy, flame, st michael, michael, gilbert, crime, wall"
58,Escape from Slavery,"Narratives of enslaved individuals who escape or attempt to escape from slavery in North America, often involving travel and seeking freedom.","boat, mistress, nat, step right, howard, soon came, bid, freedom, resid, travel"
59,Family Separation and Financial Transactions,"Narratives of family members being sold or separated due to financial obligations, including the use of bills of sale and transactions involving money.","doctor, betsey, purchase, dollar, new orlean, kentucky, orlean, fanny, sister, neworlean"
