topic,label,description,top_words
23,Fugitive Slave Rescue and Resistance,"Accounts of enslaved individuals escaping from their captors, often with the help of sympathetic communities or allies, and the subsequent resistance to slave catchers and law enforcement.","kidnapper, fugitive, carriage, escape, sheriff, postlewaite, benedict, company, jem, party"
24,The Justice System in Slave Narratives,"This topic explores the experiences of enslaved individuals as they interacted with the justice system, including trials, court proceedings, and interactions with judges, jurors, attorneys, and witnesses.","court, jury, lewis, judge, attorney, defendant, trial, witness, badger, district attorney"
25,Mistress and Master's Behavior,"The behavior and interactions between enslaved individuals and their mistresses and masters, including instances of cruelty, manipulation, and emotional abuse.","paul, ritty, cassy, mistress, colonel moore, moore, oh, mamma, ah, miss ritty"
26,The Illusion of Freedom in America,"Narratives highlighting the disconnect between American ideals of liberty and the harsh realities of slavery, where freedom is an unattainable dream for enslaved individuals.","liberty, aaron, nation, stockade, chain, human, american, tyrant, million, soul"
27,The Missouri Compromise and the Expansion of Slavery,"The struggle over the expansion of slavery in North America, including the Missouri Compromise, which allowed slavery to spread into new territories, and the growing divide between the North and South.","party, territory, union, constitution, antislavery, political, missouri, north, compromise, northern"
28,Traveling to Europe,"Narrators describe their experiences traveling by ship or steamer to Europe, often facilitated by influential individuals such as Mr. Francis J. Garrison.","passenger, steamer, board, ship, bishop, captain, th, sea, deck, voyage"
29,Establishing Settlements in North America,"The process of establishing settlements in North America, including clearing land, purchasing property, and naming communities, as experienced by African American refugees from slavery.","acre, settlement, settler, colony, canada, farm, agent, clear, society, allain"
30,Traveling as a Slave,"The experiences of enslaved individuals while traveling, including encounters with strangers, overseers, and other slave owners, as well as their own attempts to escape or navigate the complexities of slavery.","horse, road, cyrus, landlord, start, travel, journey, traveller, walk, stranger"
31,Family History and Emancipation,"Narratives about the speaker's family history, including their ancestors' enslavement, emancipation, and relationships to free relatives who played a role in their liberation.","northup, deponent, solomon, ft, county, born, lomboko, state newyork, mintus, mendi"
32,Racial Equality and Human Rights,"The idea that people of African descent are inherently inferior or unequal to Europeans, and the struggle for recognition of their inherent human rights and dignity.","animal, specy, colour, european, race, human, intellectual, africa, moral, climate"
33,The Value of Hardship and Opportunity,"Narrators reflect on how their experiences as slaves have given them unique opportunities for growth, education, and self-improvement, despite the hardships they face.","covey, peter, marse, venture, quamino, letter, lee, jarm, marse robert, cincinnati"
34,Traveling and Navigation in the Wilderness,"The challenges of traveling through the wilderness, including navigating using natural landmarks like rivers, trees, and the North Star, as well as avoiding detection by white people.","road, wood, travel, corn, tree, river, husk, cros, weather, northstar"
35,Harriet Tubman's Life and Work,"Narratives about Harriet Tubman's life, including her experiences as an abolitionist, conductor on the Underground Railroad, and military nurse during the American Civil War.","sojourner, sojourner truth, harriet, truth, tubman, harriet tubman, battle creek, washington, gen, book life"
36,Slave Auctions and Sales,"The process of buying and selling enslaved people, including auctions, prices paid, and the emotional impact on those being sold.","dollar, hundr dollar, friedman, peter, sum, cent, paid, bid, osten, sale"
37,Education and Women's Empowerment,"The importance of education for African Americans, the role of women in education and social reform, and the empowerment of women through education and public speaking.","teacher, club, mrs, school, baldwin, women, miss baldwin, miss, color woman, association"
38,Cosmology and Divine Sovereignty,"The concept of a divine realm or throne, often associated with heaven, God's power, and the universe, is explored in these narratives. The writers describe the relationship between God, humanity, and the natural world, emphasizing themes of creation, judgment, and the afterlife.","heaven, ages, earth, eternal, empire, hell, universal, throne, christ, seas"
39,Education and Personal Development,"The importance of education in overcoming personal struggles and achieving success, including the value of perseverance, self-reliance, and determination.","school, student, teacher, hampton, tuskegee, washington, teach, graduat, college, university"
40,Life at Sea as a Slave,"Experiences of enslaved individuals on ships and vessels, including their interactions with captains, masters, and other crew members.","captain, ship, board, vessel, montserrat, sail, voyage, mate, steward, island"
41,Racial Segregation on Public Transportation,"Experiences of racial segregation and discrimination on trains, ships, and other public transportation in North America, including being forced to ride in separate or inferior accommodations due to one's race.","car, passenger, conductor, cars, railroad, train, pullman, porter, ride, seat"
42,Separation from Family,"The emotional and physical separation of enslaved individuals from their loved ones, often due to forced relocation or sale.","ben, ped, wife child, start, neddy, cincinnati, yes, sam, escape, josiah"
43,Christian Faith and Personal Redemption,"Narratives about finding solace in Christian faith, personal redemption, and spiritual growth amidst the hardships of slavery.","pray, lord, prayer, saviour, jesus, aged, christian, bayley, faith, dear"
44,Leadership and Public Service,"Narratives about individuals who hold positions of power or influence, including politicians, educators, and philanthropists, highlighting their roles in shaping public policy, promoting education, and advocating for social justice.","langston, republican, district, position, president, convention, school, elect, professor, university"
45,European Royal Palaces,"Narratives about visiting or describing European royal palaces, such as the Louvre in Paris, Versailles, and St Cloud, highlighting their grandeur, beauty, and historical significance.","palace, paris, statue, tower, wall, room, build, napoleon, monument, louis"
46,Agricultural Labor and Crop Management,"The experiences of enslaved individuals working on plantations, including farm labor, crop management, and the challenges of agricultural work.","farm, crop, bond, mr bond, artichoke, scott, acre, fitzpatrick, potato, mr fitzpatrick"
47,Longing for Freedom and Family,"Narrators express their deep-seated desire for freedom and reunification with loved ones, often highlighting the emotional toll of being separated from family members.","joanna, kindness, dr, doctor, waggon, desire, dear, feeling, oh, gone"
48,Relationships with White Women,"Narrators' interactions and relationships with white women who show kindness or offer assistance, often at risk to themselves.","miss, jane, miss jane, sally, tildy, banton, sister, miss tildy, girl, mrs banton"
49,Horseback Pursuits and Battles,"Accounts of horseback chases, battles, and skirmishes involving cavalrymen, Native Americans, and other individuals on the range or in conflict.","herd, cattle, horse, trail, ranch, indian, range, saddle, buffalo, cow"
50,African American Military Service During the Civil War,"The experiences and contributions of African Americans in the military during the American Civil War, including their enlistment, battles fought, and treatment by both Union and Confederate forces.","regiment, soldier, battle, war, flag, attuck, troop, army, color soldier, fight"
51,Racial Tensions and Social Hierarchy in Colonial Haiti,"The complex social dynamics of colonial Haiti, where mulattoes, free people of color, and slaves navigated a hierarchy of power and privilege, with tensions between whites, planters, and the emerging Haitian nation.","mulatto, toussaint, rigaud, france, domingo, hayti, island, french, planter, louverture"
52,Whipping and Plantation Punishment,"The use of physical punishment, particularly whippings, as a means of control and discipline on plantations in North America.","nigger, whip, plantation, anderson, nt, horse, digg, pass, ike, smart nigger"
53,Bishop Leadership and Church Governance,"The role of bishops in the Colored Methodist Episcopal Church, their election, responsibilities, and influence within the church.","bishop, church, baptist, conference, pastor, rev, ordain, general conference, university, elect"
54,Life at Sea,"Experiences of enslaved individuals working on ships or vessels, including daily life, interactions with crew members, and encounters with various sea creatures.","captain, mate, ship, sea, vessel, sail, deck, whale, boat, crew"
55,African Chiefs and European Recognition,"Narratives of African leaders interacting with European powers, receiving recognition, and negotiating for their people's rights and interests.","king, whydah, dahoman, ahadee, agaow, trudo, kingdom, mahee, fort, popo"
56,Confronting Slavery and Abolitionism,"Narratives about the author's experiences with slavery, abolitionist movements, and the challenges faced by abolitionists in their efforts to end slavery.","douglass, antislavery, audience, cunningham, hall, send money, free church, church, convention, abolitionist"
57,Whipping and Plantation Punishment,"Accounts of physical abuse, torture, and mistreatment by overseers on plantations, including descriptions of whipping, beating, and other forms of punishment.","reuben, poor reuben, di, overseer, hes gone, reuben gone, esther, whip, cruelty, coonrood"
58,Economic Opportunities and Contributions,"The topic of economic opportunities and contributions highlights the experiences of African Americans in various industries such as agriculture, mechanics, commerce, and domestic service. It also emphasizes their potential to contribute to the prosperity of the South and the importance of dignifying common labor.","industrial, race, league, mechanic, progress, effort, exhibition, institution, nationality, tuskegee"
59,Abolitionist Speeches and Public Lectures,"Accounts of abolitionists giving speeches and lectures in public forums, often to raise awareness about the issue of slavery and advocate for its abolition.","antislavery, douglass, paper, garrison, mr brown, brown, speech, abolitionist, fugitive, convention"
60,Whipping and Plantation Punishment,The use of physical violence and intimidation by plantation owners and their families to control and punish enslaved individuals.,"whip, mistress, beat, epps, miss, harriet, sister, jane, em, tildy"
61,Escape and Fugitive Slave Experience,"Narratives about escaping from slavery, traveling to free states or Canada, and the experiences of fugitive slaves in these regions.","ruggle, fugitive, mr ruggle, york, canada, cato, new york, escape, douglass, boat"
62,Struggling with Financial Independence,"Narrators describe their difficulties in managing finances, saving money, and achieving economic independence despite their hard work and earnings.","master hugh, hugh, escape, end week, sailor, master thoma, hir time, ticket, wage, baltimore"
63,Eloquence and Public Speaking,"Passages that highlight the oratory skills of notable individuals, including Frederick Douglass, William H. Remond, and Booker T. Washington.","douglass, disraeli, speaker, orator, speeche, eloquence, remond, speech, public, webster"
64,Life as a Runaway Slave,"Experiences of enslaved individuals who escaped from their masters and engaged in various forms of rebellion, including theft, drinking, and fornication.","job, caboceiro, annamaboe, tho, shew, coast, negroe, guinea, company, stole"
65,Military Service and Racial Integration,"Narratives of African Americans serving in the military, including experiences as soldiers, officers, and chaplains, and interactions with white comrades and superiors.","regiment, chaplain, soldier, army, officer, troop, recruit, allensworth, color soldier, fort"
66,The American Civil War and Its Aftermath,"Narratives about the lead-up to the war, its battles, and the consequences of the conflict on individuals and society.","union, war, lincoln, north, rebellion, territory, proclamation, mr lincoln, peace, measure"
67,The Role of Faith and Religion in Human Development,"Narratives exploring the relationship between faith, religion, and human development, including the impact of education and civilization on physical and mental growth.","religion, universe, mental, nature, faculty, moral, force, element, civilization, faith"
68,The Importance of Knowledge and Virtue,"Narrators emphasize the value of acquiring knowledge, virtue, and moral guidance in their lives, often contrasting it with the corrupting influence of wealth and materialism.","wisdom, knowledge, truth, blind, moral, school, virtue, earth, does, vast"
69,Separation from Family,"The emotional pain and distress caused by being separated from loved ones, often due to sale or forced relocation.","aunt, evelyn, chile, sally, tear, grief, archer, aunt sally, thar, oh"
70,Violence and Threats from Slave Owners,"Slave owners' use of physical violence, intimidation, and threats to maintain control over enslaved individuals.","brown, john brown, harper ferry, harper, mountain, ferry, captain brown, douglass, plan, john"
71,Escape by Water,Narratives of enslaved individuals escaping or attempting to escape using boats or other watercraft.,"boat, river, captain, board, sailor, steamboat, shalt, amos, thou shalt, vessel"
72,Family Relationships and Kinship,"Narratives about family ties, kinship, and relationships between enslaved individuals and their relatives.","aunt, aunt dice, dice, aunt polly, peterkin, amy, mr peterkin, polly, oh, miss"
73,Life in Slavery,"Experiences of enslaved individuals, including their daily lives on plantations, relationships with owners and other slaves, and the psychological effects of bondage.","freeland, mr freeland, bondage, vow, st michael, henry john, quashi, michael, confid, henry"
74,Christianity and Redemption,"The role of Christianity in redeeming and uplifting enslaved Africans, highlighting its power to transform individuals and societies, and its promise of a brighter future for all nations.","race, soudan, ethiopia, negro race, divine, religion, christian, principle, africa, nation"
75,Agricultural Labor and Crop Management,"The topic involves descriptions of agricultural labor, crop management, and farming practices on plantations in North America.","plant, crop, soil, seed, meat, fertilizer, peas, tomato, worm, variety"
76,Fairness of Treatment in the Pension Office,"The narrator discusses their experiences working in the Pension Office during different administrations, highlighting instances where they felt fairly treated and others where they faced unfair treatment due to racial bias.","matthew, senate, president, jame matthew, district, mr chase, district columbia, office, nomination, recorder"
77,Agricultural Labor and Corn Harvesting,"The topic involves descriptions of agricultural labor, specifically corn harvesting, including tasks such as shucking corn, making hoe cakes, and participating in communal corn-shucking events.","corn, shuck, dat, aunt dice, dice, cornshuck, chitlin, aunt, carve, shuck dat"
78,Fishing and River Labor,"The narratives describe the enslaved individuals' involvement in fishing and river labor, including clearing out a fishery, hauling a seine, and catching shad and other fish. The work is often grueling and poorly rewarded, with the enslaved people receiving little benefit from their efforts.","fish, fishery, seine, shad, cotton, river, fishmaster, plough, pine, cabin"
79,Whipping and Plantation Punishment,"The use of physical punishment, including whippings and the threat of violence, to control and discipline enslaved individuals on plantations in the South.","runaway, dogs, clarkson, mr clarkson, hunter, isom, mr black, runaway slave, hunt, overseer"
80,Life on Steamboats,"Experiences of enslaved individuals working or traveling on steamboats along the Mississippi River, including interactions with captains, other passengers, and observations about slavery.","boat, steamboat, passenger, st louis, louis, board, buel, orlean, cabin boys, new orlean"
81,Life as a Domestic Slave,"Experiences and treatment of enslaved individuals working in domestic roles, including household chores, childcare, and interactions with mistresses and masters.","mistress, missis, molino, wash, sally, eve, don, mrs wood, kitchen, mayoral"
82,Celebrity and Autobiographical Accounts,"North American slave narratives featuring accounts of notable individuals who wrote about their lives, often in the form of autobiographies or biographies, and were celebrated by others for their stories and achievements.","walker, biography, book, university, dr, oxford, duma, history, jasper, professor"
83,Spirituals and African American Music,"The use of music as a means of spiritual expression, comfort, and resistance in the face of slavery and oppression.","sing, jesus, lord, ride, ride jesus, jesus ride, soul, world round, redeem love, redeem"
84,Breaking and Entering,"Accounts of forced entry into homes or businesses, often involving theft or other forms of property damage.","madison, ennis, warrick, brown, seward, store, door, rob, baker, vault"
85,Dueling and Vigilantism,"Accounts of duels, vigilantism, and extrajudicial violence in which individuals take the law into their own hands, often resulting in murder or attempted murder.","affray, pistol, shot, knife, murder, bowie, stab, bowie knife, wound, white population"
86,Mothers' Labor and Childcare in Slavery,"The struggles of enslaved mothers to care for their infants and children, including limited time for childcare, inadequate food, and the burden of caring for multiple children.","aunt katy, kate, katy, baby, jared, potato, aunt, isabella, vina, bread"
87,Separation from Family and Loss of Affection,"The emotional pain and distress experienced by enslaved individuals due to forced separation from their families, including the loss of affection and connection with loved ones.","lucilla, mrs moore, precious child, agony, dear, precious, babe, moore, affection, wilmington"
88,Missionary Work in Africa,"The role of missionaries in Africa, including their efforts to spread Christianity, establish missions, and interact with local populations.","africa, missionary, mission, association, soudan, african mission, mission work, rev, congo, baptist"
89,Whipping and Plantation Punishment,Accounts of physical punishment and mistreatment inflicted by plantation owners or overseers on enslaved individuals in North America.,"valentine, mr hall, sold, overseer, whip, william, old man, zulus, jerry, flog"
90,The Role of Knowledge and Education in Slave Life,"Narratives highlighting the importance of knowledge, education, and self-improvement for enslaved individuals, often facilitated by religious meetings or personal experiences.","knowledge, auld, ignorance, nature, mr auld, religious, liberty know, escape, liberty, mistress"
91,Agricultural Education and Economic Empowerment,"The importance of education in improving the lives of African American farmers, particularly through agricultural training and economic empowerment, as exemplified by Booker T. Washington's work at Tuskegee Institute.","farmer, carver, agricultural, school, tuskegee, negro farmer, farm, county, macon county, booker washington"
92,"Ship, Sail, Fleet, Captain",{,"ship, sail, fleet, captain, board, crew, french, admiral, privateer, lieutenant"
93,Whipping and Plantation Punishment,"The use of physical punishment, such as whippings, by overseers or drivers on plantations in North America, often as a means of discipline for slaves who failed to meet work quotas or disobeyed orders.","whip, overseer, randall, tandy, flog, tie, cook, field, punish, nt"
94,River Escapes and Travel,"Narratives of enslaved individuals escaping or traveling along rivers, including their experiences with boats, rafts, and waterways.","river, raft, cow, journey, water, indian, boat, travel, boys let, road"
95,Food Rations and Plantation Provisions,"The limited and meager food provisions provided by slave owners, including cornmeal, bread, and occasional meat, as well as the ways in which enslaved people supplemented their diets with gathered vegetables and purchased salt.","meal, meat, hoo, allowance, basket, corn, cook, shirt, pork, eat"
96,Toussaint Louverture's Leadership in Haiti,"The narrative explores Toussaint Louverture's leadership during the Haitian Revolution, including his governance, military strategies, and interactions with European powers such as France and Britain.","toussaint, island, french, petion, france, christophe, domingo, hayti, st domingo, colony"
97,Religious Instruction and Personal Growth,"Narratives about slaves seeking knowledge of Christianity, acquiring literacy, and developing their moral character despite the challenges of slavery.","goot, master fight, course life, litton, overseer, servant, peter, fight, mr carleton, life secular"
98,Negotiating Freedom through Purchase or Manumission,"Accounts of enslaved individuals negotiating their freedom by purchasing it from their masters, often involving complex financial transactions and negotiations.","amos, phillip, dollar, master amos, hundr dollar, trick play, paper, trick, maxwell, mr maxwell"
99,Toussaint Louverture's Military Campaigns and Alliances,"The topic explores Toussaint Louverture's military strategies, alliances, and conflicts during the Haitian Revolution, including his interactions with French Commissioner Roume, General Maitland, and other leaders such as Rigaud.","gen, toussaint, rochambeau, dessaline, gen leclerc, leclerc, gona ves, ves, gona, troop"
100,"Paul, Sea, Manila, Aunt Martha",{,"paul, sea, manila, aunt martha, voyage, ship, whale, built, town, vessel"
101,"Jimmie, Dinkie, Burkit, Ward",{,"jimmie, dinkie, burkit, ward, flame, gilbert, bed, aunt nancy, mrs ward, farwell"
102,Encounters with Sympathetic Whites,"Narratives about interactions with kind-hearted or sympathetic white individuals who provide aid, shelter, or assistance to enslaved people.","seth, eveline, mr hibbard, hibbard, aunt, jenny, sackett harbor, sackett, store, pa"
103,Baptist Church Practices and Theology,"The importance of baptism, church practices, and theological discussions within the Baptist community.","church, baptist, baptiz, baptism, rev, pastor, preach, baptize, ayer, mr ayer"
104,Marriage and Family Life,"The challenges of maintaining relationships and family ties under the institution of slavery, including separation, mistreatment, and the impact on marital bonds.","marriage, marry, phillis, husband, conference, canaan, merican, girl, papa, minister"
105,Education and Personal Development,"Narratives about formal education, self-improvement, and personal growth in the context of slavery and freedom.","school, hampton, teacher, student, study, taught, coalmine, lesson, tuskegee, college"
106,Whipping and Plantation Punishment,"The harsh treatment of enslaved individuals by slaveholders on plantations, including physical punishment and forced labor.","slaveholder, freeland, mr freeland, hilo, disgust slave, human, covey, wick, disgust, african"
107,Employment and Servitude,"Experiences of enslaved individuals and free people seeking employment in various settings, including domestic work, hotels, and other establishments.","mrs lincoln, lincoln, mrs, brady, dress, keye, mrs clarke, hotel, lizzie, mcclean"
108,Religious Experiences and Conversion,"Narrators' accounts of their experiences with Christianity, conversion, and spiritual growth during slavery.","mr stewart, manchester, africa, joanna, mr spurgeon, stage, infancy, spurgeon, driver, tear"
109,Cotton Picking and Plantation Labor,"The process of picking cotton on plantations in North America, including daily tasks, expectations, and working conditions.","cotton, pick, pound, plant, pick cotton, harmattan, field, bale, worm, seed"
110,Escape and Fugitive Life,"Narratives about escaping from slavery, living as fugitives, and the experiences of those who have escaped.","harriet, joe, cyrus, cato, hound, boat, fugitive, runaway, journey, charley"
111,Whipping and Plantation Punishment,"The use of physical punishment, such as whipping, by plantation owners or overseers to control and discipline enslaved individuals.","slaveholder, covey, mr covey, mr gordon, peter, gordon, scraper, worst, jess, mutton"
112,Correspondence and Separation from Loved Ones,"Narratives about the emotional struggles of being separated from family members, including letters exchanged between enslaved individuals and their loved ones in freedom.","dear wife, dear, letter, brother cousin, write, cousin, thoma jone, mind write, chavis, till death"
113,"Pound, Pullman, Tunnel, Mingo",{,"pound, pullman, tunnel, mingo, hunter, job, steubenville, pound shilling, emma, ruffner"
114,Spiritual Awakening and Conversion,"Narratives about experiencing a spiritual awakening, conversion, or seeking salvation through prayer, singing, and devotion to God.","pray, lord, sanctify, jesus, oh, sing, convert, didnt, soul, sanctification"
115,"Mr Madison, Primus, Born, Young Walker",{,"mr madison, primus, born, young walker, colonel monroe, race, madison, fugitive, washington, helm"
116,Separation from Family Members,"The emotional and practical challenges faced by enslaved individuals when separated from their family members, including children, spouses, and relatives.","sister, flint, grandmother, dr flint, mrs ruffner, ruffner, mother house, ellen, bayliss, son"
117,Blindness and Economic Dependence,"The narrator's loss of sight and subsequent economic dependence on their master, highlighting the consequences of inadequate medical care and the exploitation of enslaved individuals.","elleanor, blake, folger, matthia, sally, mammy blake, mrs, captain brown, ninus, mammy"
118,Whipping and Plantation Punishment,"The use of physical punishment, such as whippings, to discipline slaves on plantations.","horse, shop, mr garner, israel, door, rode, robbin, covington, master jame, blacksmith"
119,Traveling through Wilderness and Uncertainty,"Narratives about traveling through uncharted territories, facing uncertainty, and encountering wild animals such as wolves.","road, approach, travel, howl, indian, wolve, distance, lake, wilderness, travel night"
120,Abolitionist Influences,"The impact of abolitionists and their networks on the narrator's life and work, including interactions with influential individuals and organizations.","douglass, gavan, american, mr gavan, office, wm, garrison, lundy, christopher mcpherson, epps"
121,Government Revenue and Tariffs,"The importance of government revenue, tariffs, and taxation in supporting the nation's economy and military, as well as the debates surrounding protective duties and their impact on different regions.","tax, tariff, taxation, import, manufacturer, impost, million, cent, article, government"
122,Whipping and Plantation Punishment,"The harsh treatment and punishment of enslaved individuals on plantations, including physical abuse, meager rations, and forced labor.","weell, weell ho, ho, suffer, plantation, lash, susanna, slaveholder, cruel, blood"
123,Racial Barriers to Education,"The difficulties faced by African Americans in accessing education and becoming teachers, including rejection of qualified candidates, lack of opportunities for colored men and women to become instructors, and societal attitudes towards racial integration.","school, teacher, institute, pupil, color people, education, color child, public school, school pupil, society"
124,Land Ownership and Agricultural Labor,"Narratives about purchasing land, clearing timber, building structures, and engaging in agricultural labor.","gravel, brick, timber, kiln, cahill, mr cahill, mr blount, uncle scott, blount, stearn"
125,Lectures by Sojourner Truth,"Accounts of Sojourner Truth's lectures on morality, domestic relations, and women's rights in the context of African American life in the South during the mid-19th century.","sojourner, sojourner truth, truth, petition, government, lecture, suffrage, sibyl, audience, washington"
126,The Fugitive Slave Act and Public Opinion,"The passage describes the public's reaction to the Fugitive Slave Law, including its enforcement, opposition from abolitionists, and the law's eventual decline in importance.","law, jerry, court, fugitive, marshal, boston, fugitive slave, faneuil hall, faneuil, liberty"
127,Racial Prejudice at West Point,Experiences of African American cadets facing social ostracism and racism while attending the United States Military Academy at West Point,"cadet, flipper, west point, color cadet, smith, west, academy, graduate, cadet smith, officer"
128,Acknowledging Assistance from Friends,Narrators express gratitude to individuals who provided financial or moral support during difficult times.,"yea, writer, johnson, mission, mr johnson, rev johnson, duly, amen, rev, selah"
129,"River, King, Hous, Meroe",{,"river, king, hous, meroe, kingdom, consist, ancient, distance, sahara, variety"
130,Financial Support and Recognition for Slave Leaders,"Narratives highlighting the financial support and recognition received by slave leaders from white patrons, including donations to their churches and personal wealth accumulation.","chase, eustace, belin, dollar, honour, jasper, rev, hawkin, st domingo, mr chase"
131,Surviving Hunger through Hunting,"Narratives of enslaved individuals who hunted wild animals to supplement their meager rations, often facing punishment or detection by slave owners and overseers.","turkey, josh, chicken, tag, harry, bird, brazen, ned, sieve, massa"
132,Addressing White Audiences in the South,"Narrators discuss their experiences speaking to white audiences in the South, often with a focus on promoting racial understanding and progress.","address, atlanta, exposition, audience, race, invitation, tuskegee, director, problem, southern"
133,Racial Identity and Relationships,"The complexities of racial identity, relationships between white and black people in the South, and the challenges faced by individuals who seek to navigate these dynamics.","colour, student, white people, moton, race, major moton, colour people, community, contact, southern"
134,The Nature of Temptation and Sin,"Narrators discuss the concept of temptation and sin, attributing its origin to Satan or evil influences rather than God. They describe how humans are deceived by Satan's lies and succumb to sin, leading to ruin and hell.","ter, uv, dat, wuz, yer, dey, gord, iz, wat, fer"
135,Negro Education and Racial Progress,"The importance of education for African Americans and its role in addressing the racial problem in the South, including the establishment of schools and institutions that cater to their needs.","education, school, industrial, miss crandall, negro education, high education, crandall, college, washington, negro school"
136,Grief and Mourning,"The emotional response of individuals to the loss of a loved one, including expressions of sympathy, condolences, and reflections on the deceased's life and legacy.","phebe, tenn, dear, dear wife, paul, toussaint, death dear, mr chaplain, miss, oh"
137,Methodist Episcopal Church Organization and Governance,"The formation and governance of the Methodist Episcopal Church in North America, including its organization, conferences, bishops, and relationships with other churches.","bishop, conference, episcopal, general conference, church, methodist episcopal, episcopal church, methodist, elect, organization"
